date,latitude,longitude,IGBP_land_classification,secondary_veg_type,H,LE,wind_dir,u_mean,u_star,ZL,L,sigma_v,PA,t_avg,zm,hc,d,z0,ET_corr
2016-08-01 00:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 00:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 01:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 01:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 02:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 02:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 03:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 03:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 04:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 04:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 05:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 05:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 06:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 06:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 07:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 07:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 08:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 08:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 09:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 09:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 10:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 10:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 11:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 11:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 12:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 12:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 13:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 13:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 14:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 14:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 15:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 15:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 16:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 16:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 17:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 17:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 18:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 18:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 19:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 19:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 20:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 20:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 21:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 21:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 22:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 22:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 23:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-01 23:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-02 00:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-02 00:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-02 01:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-02 01:30:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
2016-08-02 02:00:00,38.099153799999996,-121.49933,Croplands,,,,,,,,,,,,3.9,0.9768090847186024,0.6738823451675827,,
