DOY   hrmin     Vbar    SDVn
140    100      2.46    0.28
140    200      2.27    0.29
140    300      2.19    0.33
140    400      2.51    0.35
140    500      1.69    0.33
140    600      1.42    0.43
140   1900      5.22    0.75
140   2000      2.51    0.89
140   2100      2.31    0.67
140   2200      1.98    0.61
140   2300      1.97    0.22
140   2400      2.46    0.32
141    100      2.72    0.48
141    200      2.80    0.34
141    300      2.21    0.35
141    400      2.05    0.30
141    500      1.17    0.23
141    600      1.87    0.46
141    700      0.86    0.22
141    800      0.65    0.26
141    900      1.09    0.42
141   1000      1.00    0.42
141   1100      0.96    0.43
141   1200      1.33    0.57
141   1300      1.94    0.94
141   1400      2.23    0.77
141   1500      2.60    0.87
141   1600      3.52    0.89
141   1700      3.25    0.52
141   1800      2.14    0.52
141   1900      1.44    0.30
141   2000      1.51    0.31
141   2100      2.43    0.53
141   2200      1.55    0.52
141   2300      1.32    0.46
141   2400      1.51    0.23
142    100      2.15    0.27
142    200      2.02    0.22
142    300      2.32    0.20
142    400      1.73    0.30
142    500      1.13    0.21
142    600      1.99    0.18
142    700      1.51    0.30
142    800      1.00    0.24
142    900      0.91    0.42
142   1000      2.98    0.79
142   1100      4.29    1.28
142   1200      2.34    0.78
142   1300      5.43    0.89
142   1400      3.77    1.19
142   1500      4.64    1.18
142   1600      3.09    1.05
142   1700      1.38    0.58
142   1800      0.89    0.18
142   1900      1.34    0.48
142   2000      1.49    0.55
142   2100      1.64    0.45
142   2200      1.04    0.40
142   2300      1.25    0.36
142   2400      1.82    0.35
143    100      1.87    0.53
143    200      1.74    0.26
143    300      1.48    0.31
143    400      1.13    0.20
143    500      1.41    0.34
143    600      1.03    0.28
143    700      0.64    0.30
143    800      0.77    0.37
143    900      1.18    0.42
143   1000      1.37    0.54
143   1100      2.22    0.88
143   1200      2.96    0.78
143   1300      2.94    0.54
143   1400      2.17    0.56
143   1500      3.02    1.05
143   1600      2.73    0.83
143   1700      4.22    0.63
143   1800      2.61    0.61
143   1900      1.21    0.14
143   2000      1.65    0.24
143   2100      2.09    0.46
143   2200      2.34    0.37
143   2300      1.12    0.43
143   2400      1.59    0.42
144    100      2.03    0.37
144    200      1.99    0.44
144    300      1.68    0.33
144    400      1.86    0.48
144    500      1.91    0.44
144    600      2.21    0.43
144    700      0.74    0.21
144    800      1.02    0.22
144    900      1.67    0.33
144   1000      2.50    0.53
144   1100      2.70    0.64
144   1200      3.19    0.80
144   1300      2.51    0.73
144   1400      3.08    1.02
144   1500      3.16    1.01
144   1600      2.40    0.96
144   1700      1.41    0.49
144   1800      1.10    0.40
144   1900      0.85    0.39
144   2000      1.81    0.52
144   2100      2.77    0.39
144   2200      2.55    0.38
144   2300      2.50    0.46
144   2400      2.70    0.33
145    100      2.38    0.49
145    200      3.03    0.27
145    300      3.48    0.32
145    400      2.53    0.32
145    500      1.75    0.22
145    600      1.68    0.30
145    700      0.95    0.20
145    800      0.41    0.15
145    900      0.57    0.30
145   1000      0.93    0.41
145   1100      1.08    0.39
145   1200      1.41    0.53
145   1300      2.75    0.92
145   1400      3.22    0.88
145   1500      4.19    0.93
145   1600      4.29    1.09
145   1700      3.56    0.89
145   1800      4.47    0.80
145   1900      3.20    0.40
145   2000      2.47    0.17
145   2100      2.71    0.16
145   2200      2.38    0.41
145   2300      1.45    0.44
145   2400      1.79    0.54
146    100      2.16    0.27
146    200      3.34    0.33
146    300      3.32    0.34
146    400      3.17    0.33
146    500      2.97    0.43
146    600      1.37    0.55
146    700      1.09    0.32
146    800      1.10    0.23
146    900      0.87    0.32
146   1000      1.55    0.83
146   1100      2.24    0.56
146   1200      2.57    0.72
146   1300      3.11    0.95
146   1400      2.87    0.85
146   1500      3.90    1.19
146   1600      4.22    1.06
146   1700      2.93    0.94
146   1800      4.13    0.75
146   1900      3.34    0.50
146   2000      2.26    0.34
146   2100      2.55    0.29
146   2200      1.85    0.38
146   2300      2.11    0.70
146   2400      2.41    0.71
147    100      2.50    0.85
147    200      2.08    0.44
147    300      1.12    0.47
147    400      2.21    0.42
147    500      1.30    0.64
147    600      2.09    0.56
147    700      3.91    0.64
147    800      2.02    0.45
147    900      1.18    0.56
147   1000      1.69    0.63
147   1100      1.68    0.81
147   1200      1.80    0.78
147   1300      2.00    0.69
147   1400      1.89    0.86
147   1500      3.09    0.97
147   1600      3.02    1.01
147   1700      3.45    0.84
147   1800      2.45    0.97
147   1900      2.93    0.45
147   2000      2.59    0.43
147   2100      2.35    0.67
147   2200      3.15    0.71
147   2300      2.88    0.79
147   2400      1.98    0.79
148    100      2.43    0.65
148    200      1.59    0.54
148    300      1.47    0.42
148    400      1.44    0.56
148    500      1.23    0.34
148    600      1.66    0.25
148    700      0.65    0.24
148    800      0.83    0.37
148    900      1.13    0.53
148   1000      1.43    0.45
148   1100      1.53    0.71
148   1200      2.03    0.69
148   1300      2.79    0.82
148   1400      3.43    0.89
148   1500      3.25    1.17
148   1600      2.92    0.90
148   1700      3.65    0.71
148   1800      3.06    0.62
148   1900      4.13    0.63
148   2000      3.80    0.74
148   2100      3.11    0.43
148   2200      2.55    0.34
148   2300      1.32    0.31
148   2400      1.22    0.42
149    100      1.73    0.15
149    200      1.81    0.25
149    300      2.36    0.45
149    400      1.84    0.33
149    500      1.73    0.38
149    600      1.29    0.37
149    700      0.94    0.33
149    800      0.93    0.30
149    900      1.75    0.56
149   1000      2.34    0.65
149   1100      2.32    0.64
149   1200      1.33    0.64
149   1300      2.55    0.62
149   1400      2.08    0.73
149   1500      1.31    0.53
149   1600      0.82    0.40
149   1700      1.83    0.67
149   1800      1.82    0.38
149   1900      1.30    0.39
149   2000      2.07    0.64
149   2100      2.02    0.25
149   2200      1.77    0.37
149   2300      1.23    0.38
149   2400      1.15    0.34
150    100      2.09    0.42
150    200      2.17    0.35
150    300      2.89    0.29
150    400      2.73    0.36
150    500      1.74    0.31
150    600      1.56    0.46
150    700      2.14    0.29
150    800      1.10    0.44
150    900      1.49    0.41
150   1000      1.74    0.53
150   1100      2.25    0.70
150   1200      2.64    0.85
150   1300      2.63    0.74
150   1400      2.28    0.85
150   1500      2.84    0.71
150   1600      2.54    0.69
150   1700      3.09    1.67
150   1800      7.60    1.31
150   1900      3.70    0.60
150   2000      1.83    0.35
150   2100      0.99    0.36
150   2200      1.74    0.54
150   2300      1.69    0.37
150   2400      2.68    0.52
151    100      3.09    0.28
151    200      3.26    0.30
151    300      3.55    0.33
151    400      2.73    0.33
151    500      3.04    0.30
151    600      2.58    0.27
151    700      2.39    0.26
151    800      1.53    0.49
151    900      1.11    0.52
151   1000      1.71    0.61
151   1100      4.13    0.80
151   1200      5.32    1.15
151   1300      8.86    1.31
151   1400      8.73    1.55
151   1500      8.28    1.46
151   1600      7.36    1.40
151   1700      6.39    0.87
151   1800      6.00    0.92
151   1900      6.76    0.81
151   2000      3.96    0.43
151   2100      2.96    0.27
151   2200      1.68    0.39
151   2300      1.96    0.54
151   2400      3.56    0.44
152    100      6.01    0.70
152    200      4.95    0.44
152    300      3.83    0.40
152    400      3.18    0.34
152    500      3.22    0.50
152    600      2.82    0.37
152    700      2.68    0.39
152    800      4.59    0.84
152    900      6.28    1.11
152   1000      7.74    1.27
152   1100      8.58    1.45
152   1200      8.26    1.65
152   1300      8.60    1.34
152   1400      9.02    1.62
152   1500      9.34    1.45
152   1600      9.05    1.46
152   1700      7.44    1.32
152   1800      7.58    0.94
152   1900      7.10    0.98
152   2000      6.26    0.94
152   2100      2.26    0.80
152   2200      1.32    0.35
152   2300      1.51    0.38
152   2400      1.90    0.39
153    100      2.55    0.33
153    200      2.60    0.22
153    300      1.79    0.29
153    400      1.78    0.29
153    500      2.59    0.66
153    600      2.27    0.30
153    700      1.18    0.25
153    800      1.32    0.60
153    900      3.79    0.77
153   1000      1.89    1.01
153   1100      2.05    0.85
153   1200      2.29    0.77
153   1300      2.50    0.92
153   1400      2.05    0.72
153   1500      1.88    0.49
153   1600      1.92    0.48
153   1700      2.15    0.38
153   1800      1.33    0.54
153   1900      0.99    0.18
153   2000      1.91    0.22
153   2100      3.35    0.33
153   2200      3.82    0.36
153   2300      2.57    0.31
153   2400      1.85    0.36
154    100      2.70    0.22
154    200      3.34    0.28
154    300      3.67    0.29
154    400      2.79    0.39
154    500      2.66    0.26
154    600      1.66    0.68
154    700      0.80    0.29
154    800      1.33    0.42
154    900      0.98    0.50
154   1000      1.06    0.49
154   1100      1.27    0.55
154   1200      1.75    0.49
154   1300      1.83    0.63
154   1400      2.79    0.85
154   1500      2.58    0.65
154   1600      3.09    0.89
154   1700      3.04    0.90
154   1800      2.37    0.78
154   1900      2.81    0.55
154   2000      2.49    0.46
154   2100      4.76    0.75
154   2200      2.27    0.73
154   2300      1.93    0.50
154   2400      2.28    0.36
155    100      3.39    0.28
155    200      3.80    0.29
155    300      3.73    0.32
155    400      3.03    0.30
155    500      1.77    0.20
155    600      2.78    0.25
155    700      2.14    0.20
155    800      0.99    0.39
155    900      1.64    0.50
155   1000      1.51    0.49
155   1100      1.43    0.57
155   1200      1.78    0.71
155   1300      2.79    0.95
155   1400      4.54    1.21
155   1500      4.44    1.16
155   1600      5.18    1.23
155   1700      4.35    1.03
155   1800      3.30    0.75
155   1900      2.02    0.38
155   2000      1.64    0.21
155   2100      2.09    0.39
155   2200      3.45    0.59
155   2300      2.45    0.35
155   2400      1.53    0.59
156    100      3.04    0.50
156    200      4.04    0.41
156    300      4.39    0.39
156    400      3.83    0.49
156    500      2.82    0.39
156    600      1.27    0.49
156    700      1.21    0.35
156    800      1.40    0.43
156    900      0.85    0.37
156   1000      1.50    0.53
156   1100      2.68    1.04
156   1200      3.75    1.17
156   1300      3.81    1.14
156   1400      3.85    1.42
156   1500      5.86    1.58
156   1600      5.45    1.40
156   1700      4.53    1.35
156   1800      3.24    0.97
156   1900      2.56    0.74
156   2000      2.33    0.19
156   2100      2.66    0.47
156   2200      2.87    0.72
156   2300      1.51    0.45
156   2400      1.36    0.48
157    100      1.45    0.40
157    200      1.92    0.54
157    300      2.76    0.25
157    400      3.68    0.36
157    500      4.27    0.37
157    600      2.15    0.39
157    700      1.34    0.29
157    800      1.13    0.35
157    900      0.66    0.28
157   1000      1.22    0.41
157   1100      1.42    0.47
157   1200      1.34    0.59
157   1300      1.96    0.89
157   1400      3.77    0.86
157   1500      3.99    1.12
157   1600      4.72    1.02
157   1700      5.99    1.06
157   1800      5.26    0.91
157   1900      5.00    0.57
157   2000      2.79    0.57
157   2100      3.12    0.54
157   2200      3.19    0.41
157   2300      2.27    0.64
157   2400      1.85    0.61
158    100      1.62    0.71
158    200      2.52    0.38
158    300      2.22    0.57
158    400      2.30    0.61
158    500      2.07    0.53
158    600      2.89    0.28
158    700      1.00    0.64
158    800      1.32    0.45
158    900      1.10    0.39
158   1000      0.87    0.37
158   1100      1.20    0.50
158   1200      1.55    0.53
158   1300      3.31    0.78
158   1400      4.85    1.03
158   1500      4.15    1.50
158   1600      5.84    1.13
158   1700      5.25    1.18
158   1800      4.65    0.98
158   1900      3.31    0.65
158   2000      1.92    0.26
158   2100      2.68    0.27
158   2200      2.18    0.49
158   2300      2.97    0.44
158   2400      2.63    0.67
159    100      1.82    0.48
159    200      1.58    0.71
159    300      1.55    0.46
159    400      1.34    0.47
159    500      1.47    0.28
159    600      2.17    0.32
159    700      0.83    0.25
159    800      0.61    0.13
159    900      0.98    0.31
159   1000      1.13    0.39
159   1100      1.33    0.44
159   1200      3.13    1.11
159   1300      3.88    1.24
159   1400      3.29    0.84
159   1500      3.81    1.13
159   1600      2.91    1.14
159   1700      1.63    0.68
159   1800      2.46    1.03
159   1900      1.69    0.39
159   2000      2.31    0.37
159   2100      2.28    0.37
159   2200      2.75    0.28
159   2300      2.51    0.46
159   2400      2.12    0.60
160    100      2.19    0.33
160    200      2.38    0.50
160    300      2.14    0.44
160    400      3.58    0.28
160    500      2.81    0.29
160    600      2.72    0.27
160    700      2.06    0.33
160    800      0.99    0.18
160    900      0.90    0.34
160   1000      1.10    0.36
160   1100      1.31    0.50
160   1200      2.71    1.06
160   1300      5.93    1.29
160   1400      6.69    1.25
160   1500      6.63    1.21
160   1600      6.73    1.12
160   1700      6.23    1.22
160   1800      6.10    0.87
160   1900      5.98    0.69
160   2000      5.00    0.44
160   2100      4.27    0.38
161   1100      6.71    1.05
161   1200      6.74    1.11
161   1300      7.48    1.34
161   1400      8.44    1.46
161   1500      9.25    1.52
161   1600     10.65    1.36
161   1700     11.36    1.29
161   1800     11.17    1.41
161   1900      9.96    1.31
161   2000      9.10    1.13
161   2100      5.79    1.13
161   2200      2.33    0.60
161   2300      1.62    0.32
161   2400      1.96    0.52
162    100      1.58    0.35
162    200      1.74    0.36
162    300      2.01    0.41
162    400      2.25    0.26
162    500      2.54    0.20
162    600      2.34    0.20
162    700      1.30    0.23
162    800      0.58    0.27
162    900      1.54    0.41
162   1000      1.30    0.53
162   1100      1.65    0.57
162   1200      3.44    1.13
162   1300      5.14    1.23
162   1400      5.72    1.06
162   1500      6.15    1.39
162   1600      6.24    1.37
162   1700      5.57    1.09
162   1800      5.62    1.08
162   1900      4.38    0.80
162   2000      5.04    0.57
162   2100      5.12    0.59
162   2200      3.36    0.74
162   2300      3.01    0.53
162   2400      1.31    0.36
163    100      1.62    0.37
163    200      2.26    0.28
163    300      2.43    0.44
163    400      1.96    0.33
163    500      1.81    0.28
163    600      1.74    0.21
163    700      1.20    0.25
163    800      0.90    0.40
163    900      1.43    0.51
163   1000      1.70    0.43
163   1100      1.70    0.46
163   1200      1.33    0.55
163   1300      1.41    0.60
163   1400      1.74    0.66
163   1500      3.13    0.91
163   1600      2.32    0.96
163   1700      4.17    0.93
163   1800      4.67    0.98
163   1900      2.90    0.71
163   2000      2.63    0.76
163   2100      2.04    0.67
163   2200      1.36    0.35
163   2300      1.17    0.53
163   2400      1.22    0.45
164    100      2.10    0.24
164    200      2.33    0.49
164    300      3.39    0.32
164    400      3.68    0.40
164    500      3.46    0.34
164    600      3.62    0.32
164    700      2.14    0.40
164    800      0.58    0.21
164    900      1.23    0.31
164   1000      1.14    0.38
164   1100      1.94    0.48
164   1200      2.22    0.63
164   1300      2.54    1.04
164   1400      3.37    1.10
164   1500      3.87    1.00
164   1600      4.01    0.97
164   1700      4.01    0.76
164   1800      2.46    0.72
164   1900      1.53    0.46
164   2000      1.50    0.49
164   2100      3.05    0.59
164   2200      2.98    0.33
164   2300      2.38    0.18
164   2400      1.49    0.64
165    100      1.90    0.46
165    200      2.30    0.35
165    300      1.68    0.35
165    400      2.33    0.48
165    500      2.68    0.54
165    600      3.14    0.36
165    700      2.35    0.36
165    800      0.89    0.43
165    900      1.04    0.43
165   1000      2.71    0.72
165   1100      3.07    0.83
165   1200      3.44    1.22
165   1300      4.52    1.36
165   1400      4.95    1.50
165   1500      5.18    1.49
165   1600      5.22    1.23
165   1700      4.76    1.09
165   1800      5.42    1.32
165   1900      4.23    0.52
165   2000      3.16    0.26
165   2100      2.63    0.31
165   2200      2.55    0.34
165   2300      1.23    0.31
165   2400      2.28    0.45
166    100      2.54    0.44
166    200      2.82    0.31
166    300      1.99    0.67
166    400      2.09    0.43
166    500      2.60    0.26
166    600      2.20    0.31
166    700      1.32    0.39
166    800      1.40    0.64
166    900      2.06    0.58
166   1000      3.49    0.76
166   1100      4.28    0.79
166   1200      4.83    1.01
166   1300      6.32    1.65
166   1400      5.82    1.15
166   1500      7.04    1.30
166   1600      5.84    1.34
166   1700      6.04    1.05
166   1800      4.68    0.76
166   1900      5.17    0.68
166   2000      4.05    0.48
166   2100      3.78    0.42
166   2200      3.65    0.74
166   2300      3.54    0.56
166   2400      3.24    0.47
167    100      3.57    0.29
167    200      4.09    0.46
167    300      5.13    0.58
167    400      6.24    1.10
167    500      5.42    0.74
167    600      3.33    0.55
167    700      1.51    0.25
167    800      1.99    0.37
167    900      3.22    0.57
167   1000      4.57    0.97
167   1100      4.86    0.93
167   1200      3.74    0.93
167   1300      4.69    0.91
167   1400      4.56    0.97
167   1500      4.71    0.88
167   1600      4.84    0.95
167   1700      4.25    0.84
167   1800      4.29    0.74
167   1900      4.64    0.62
167   2000      2.78    0.46
167   2100      1.42    0.35
167   2200      1.64    0.40
167   2300      1.79    0.40
167   2400      1.70    0.30
168    100      1.29    0.24
168    200      1.33    0.36
168    300      1.74    0.20
168    400      1.13    0.14
168    500      2.17    0.21
168    600      1.78    0.27
168    700      2.06    0.35
168    900      0.76    0.28
168   1000      1.03    0.29
168   1100      1.21    0.53
168   1200      2.28    0.68
168   1300      3.09    0.81
168   1400      4.39    0.74
168   1500      3.49    0.66
168   1600      4.17    0.73
168   1700      4.89    0.76
168   1800      3.38    0.90
168   1900      5.34    0.63
168   2000      4.49    0.43
168   2100      3.04    0.37
168   2200      2.40    0.32
168   2300      1.92    0.58
168   2400      2.07    0.49
169    100      2.55    0.59
169    200      2.69    1.03
169    300      2.32    0.63
169    400      2.91    0.45
169    500      3.51    0.29
169    600      4.76    0.64
169    700      4.34    0.53
169    800      5.01    0.95
169    900      5.31    0.97
169   1000      5.06    1.23
169   1100      4.26    0.97
169   1200      5.61    1.12
169   1300      5.71    1.28
169   1400      4.51    1.11
169   1500      4.70    1.25
169   1600      4.70    1.28
169   1700      4.46    1.00
169   1800      3.78    0.69
169   1900      2.67    0.40
169   2000      1.97    0.21
169   2100      2.91    0.54
169   2200      2.58    0.47
169   2300      4.03    0.51
169   2400      3.13    0.37
170    100      2.34    0.24
170    200      2.88    0.30
170    700      1.40    0.30
170    800      0.99    0.33
170    900      0.90    0.37
170   1000      2.13    0.74
170   1100      2.28    1.13
170   1200      3.73    1.12
170   1300      3.97    1.36
170   1400      3.89    1.40
170   1500      3.83    1.05
170   1600      3.73    1.06
170   1700      3.13    0.71
170   1800      5.19    0.61
170   1900      3.01    0.48
170   2000      1.91    0.31
170   2100      1.59    0.31
170   2200      1.61    0.40
170   2300      1.03    0.43
170   2400      0.87    0.45
171    100      1.63    0.28
171    200      1.06    0.29
171    300      1.09    0.31
171    400      0.86    0.37
171    500      1.33    0.18
171    600      1.73    0.19
172    800      1.04    0.26
172    900      1.21    0.36
172   1000      0.67    0.26
172   1100      1.23    0.53
172   1200      1.60    0.50
172   1300      1.98    0.59
172   1400      3.35    0.98
172   1500      4.68    0.99
172   1600      4.65    1.21
172   1700      4.02    0.86
172   1800      4.65    1.09
172   1900      5.42    0.81
172   2000      4.00    0.57
172   2100      2.10    0.47
172   2200      1.80    1.03
172   2300      1.79    0.51
172   2400      1.58    0.52
173    100      2.09    0.62
173    200      1.33    0.58
173    300      1.21    0.47
173    400      1.95    0.55
173    500      1.95    0.58
173    600      1.58    0.41
173    700      1.64    0.39
173    800      1.65    0.78
173    900      1.62    0.32
173   1000      1.06    0.54
173   1100      1.57    0.77
173   1200      1.05    0.56
173   1300      1.96    0.80
173   1400      1.48    0.72
173   1500      1.56    0.80
173   1600      2.06    0.91
173   1700      2.73    0.84
173   1800      3.37    0.85
173   1900      2.63    0.95
173   2000      2.26    0.53
173   2100      1.12    0.35
173   2200      1.37    0.48
173   2300      2.18    0.39
173   2400      1.66    0.43
174    100      1.70    0.51
174    200      1.72    0.47
174    300      2.51    0.25
174    400      1.84    0.33
174    500      2.45    0.29
174    600      2.82    0.32
174    700      1.57    0.25
174    800      0.94    0.17
174    900      1.26    0.36
174   1000      1.68    0.57
174   1100      2.89    0.90
174   1200      3.44    0.87
174   1300      3.57    1.02
174   1400      4.06    1.37
174   1500      5.69    2.04
174   1600      7.39    1.22
174   1700      8.34    1.23
174   1800      8.41    1.10
174   1900      7.65    1.12
174   2000      5.14    0.79
174   2100      2.94    0.47
174   2200      4.12    0.73
174   2300      4.98    0.81
174   2400      4.37    0.68
175    100      4.72    0.61
175    200      2.91    0.49
175    300      2.45    0.35
175    400      2.06    0.30
175    500      1.93    0.28
175    600      2.64    0.36
175    700      4.08    0.44
175    800      4.54    0.65
175    900      2.83    0.82
175   1000      3.37    0.93
175   1100      2.21    0.76
175   1200      1.94    0.90
175   1300      1.70    0.72
175   1400      2.29    0.87
175   1500      1.91    0.60
175   1600      1.73    0.64
175   1700      1.48    0.43
175   1800      2.01    0.45
175   1900      1.17    0.40
175   2000      1.77    0.28
175   2100      2.22    0.36
175   2200      2.42    0.24
175   2300      2.43    0.32
175   2400      2.41    0.38
176    100      1.31    0.45
176    200      1.16    0.20
176    300      2.30    0.39
176    400      2.09    0.29
176    500      1.98    0.32
176    600      2.53    0.50
176    700      0.58    0.19
176    800      1.02    0.28
176    900      1.03    0.23
176   1000      1.96    0.41
176   1100      2.54    0.64
176   1200      2.69    0.78
176   1300      2.45    0.97
176   1400      2.23    0.83
176   1500      1.47    0.71
176   1600      2.97    0.49
176   1700      2.76    0.56
176   1800      1.98    0.51
176   1900      1.94    0.51
176   2000      1.96    0.47
176   2100      2.00    0.74
176   2200      1.77    0.50
176   2300      1.60    0.59
176   2400      2.94    0.35
177    100      2.61    0.40
177    200      2.89    0.60
177    300      2.74    0.43
177    400      2.39    0.45
177    500      1.77    0.68
177    600      1.63    0.46
177    700      0.72    0.27
177    800      0.76    0.26
177    900      0.95    0.34
177   1000      1.36    0.43
177   1100      1.76    0.38
177   1200      2.54    0.67
177   1300      3.64    0.85
177   1400      4.56    1.26
177   1500      6.46    1.53
177   1600      6.12    0.95
177   1700      5.38    0.92
177   1800      4.71    0.77
177   1900      4.21    0.58
177   2000      3.24    0.41
177   2100      2.63    0.40
177   2200      1.63    0.29
177   2300      1.14    0.54
177   2400      2.36    0.34
178    100      2.52    0.49
178    200      2.59    0.45
178    300      3.17    0.34
178    400      3.03    0.35
178    500      3.75    0.33
178    600      3.67    0.38
178    700      1.19    0.45
178    800      0.67    0.21
178    900      1.08    0.18
178   1000      0.85    0.38
178   1100      0.82    0.32
178   1200      1.51    0.64
178   1300      2.35    0.86
178   1400      3.95    0.98
178   1500      2.73    0.98
178   1600      1.67    0.72
178   1700      2.92    1.12
178   1800      2.74    0.83
178   1900      3.09    0.56
178   2000      1.72    0.55
178   2100      2.81    0.30
178   2200      2.58    0.68
178   2300      2.17    0.35
178   2400      1.94    0.49
179    100      2.57    0.47
179    200      1.95    0.53
179    300      2.88    0.51
179    400      1.87    0.69
179    500      2.11    0.54
179    600      2.18    0.37
179    700      0.94    0.28
179    800      0.49    0.13
179    900      0.52    0.21
179   1000      1.58    0.25
179   1100      3.35    0.79
179   1200      3.72    0.75
179   1300      4.01    0.80
179   1400      4.30    1.05
179   1500      5.55    1.44
179   1600      5.89    1.63
179   1700      5.75    1.13
179   1800      5.19    1.30
179   1900      3.22    0.44
179   2000      3.27    0.65
179   2100      3.16    0.28
179   2200      2.99    0.25
179   2300      3.08    0.36
179   2400      3.13    0.18
180    100      2.21    0.43
180    200      1.77    0.41
180    300      1.62    0.33
180    400      1.74    0.25
180    500      2.09    0.46
180    600      2.48    0.35
180   1800      5.99    1.21
180   1900      4.96    0.93
180   2000      2.19    0.93
180   2100      1.44    0.67
180   2200      2.08    0.41
180   2300      1.58    0.43
180   2400      2.34    0.34
181    100      1.61    0.40
181    200      1.45    0.22
181    300      0.94    0.26
181    400      1.83    0.43
181    500      2.12    0.22
181    600      0.74    0.41
181    700      1.50    0.24
181    800      0.80    0.24
181    900      0.71    0.40
181   1000      1.11    0.45
181   1100      2.03    0.86
181   1200      3.37    1.06
181   1300      3.19    1.33
181   1400      3.32    0.83
181   1500      2.89    0.75
181   1600      2.44    0.72
181   1700      2.11    0.49
181   1800      1.48    0.69
181   1900      2.35    0.39
181   2000      2.09    0.68
181   2100      1.44    0.51
181   2200      1.19    0.46
181   2300      1.31    0.52
181   2400      1.59    0.43
182    100      1.95    0.44
182    200      1.29    0.54
182    300      1.92    0.51
182    400      2.00    0.37
182    500      1.30    0.35
182    600      1.72    0.25
182    700      1.28    0.34
182    800      0.45    0.24
182    900      1.41    0.35
182   1000      2.88    0.50
182   1100      2.88    0.63
182   1200      2.26    0.69
182   1300      2.10    0.72
182   1400      1.80    0.62
182   1500      1.72    0.66
182   1600      1.78    0.61
182   1700      2.11    0.71
182   1800      2.45    0.45
182   1900      1.80    0.41
182   2000      2.22    0.48
182   2100      1.94    0.34
182   2200      1.66    0.60
182   2300      1.90    0.45
182   2400      2.46    0.22
183    100      1.87    0.37
183    200      1.66    0.47
183    300      1.87    0.46
183    400      2.39    0.23
183    500      2.19    0.54
183    600      2.75    0.38
183    700      0.56    0.25
183    800      0.95    0.21
183    900      0.90    0.23
183   1000      1.48    0.40
183   1100      1.41    0.34
183   1200      2.83    0.73
183   1300      3.18    0.59
183   1400      3.35    0.83
183   1500      4.68    1.17
183   1600      4.55    0.58
183   1700      2.89    0.62
183   1800      4.13    0.58
183   1900      2.38    0.34
183   2000      1.15    0.24
183   2100      1.93    0.36
183   2200      1.98    0.32
183   2300      3.04    0.33
183   2400      3.00    0.52
184    100      2.22    0.47
184    200      1.71    0.44
184    300      2.35    0.32
184    400      2.97    0.41
184    500      2.49    0.34
184    600      1.02    0.43
184    700      1.52    0.22
184    800      0.66    0.25
184    900      1.24    0.26
184   1000      0.89    0.39
184   1100      1.12    0.32
184   1200      1.68    0.59
184   1300      3.23    1.30
184   1400      4.00    1.38
184   1500      6.19    1.82
184   1600      5.93    1.78
184   1700      5.66    1.53
184   1800      3.25    0.62
184   1900      1.88    0.52
184   2000      1.08    0.52
184   2100      3.59    0.92
184   2200      5.42    0.65
184   2300      1.23    0.41
184   2400      1.47    0.44
185    100      1.66    0.51
185    200      2.32    0.36
185    300      2.41    0.31
185    400      2.89    0.28
185    500      3.40    0.32
185    600      3.41    0.34
185    700      2.39    0.40
185    800      0.91    0.35
185    900      0.71    0.24
185   1000      0.77    0.33
185   1100      1.68    0.39
185   1200      1.76    0.69
185   1300      1.73    0.53
185   1400      3.80    0.96
185   1500      3.90    1.09
185   1600      4.10    0.90
185   1700      2.80    0.76
185   1800      3.40    0.70
185   1900      2.42    0.52
185   2000      2.11    0.29
185   2100      3.41    0.42
185   2200      3.17    0.38
185   2300      1.99    0.50
185   2400      3.18    0.37
186    100      1.69    0.31
186    200      1.83    0.26
186    300      1.60    0.47
186    400      2.34    0.89
186    500      1.84    0.65
186    600      2.14    0.61
186    700      2.70    0.90
186    800      1.53    0.39
186    900      1.87    0.50
186   1000      3.71    0.98
186   1100      3.46    0.61
186   1200      3.73    0.92
186   1300      3.62    0.96
186   1400      3.23    0.90
186   1500      3.34    0.94
186   1600      2.26    0.81
186   1700      1.55    0.67
186   1800      1.67    0.39
186   1900      0.46    0.18
186   2000      2.23    0.37
186   2100      2.64    0.36
186   2200      1.81    0.37
186   2300      1.59    0.48
186   2400      1.84    0.64
187    100      2.43    0.59
187    200      2.15    0.60
187    300      2.58    0.66
187    400      2.10    0.58
187    500      2.31    0.25
187    600      3.30    0.28
187    700      2.65    0.20
187    800      1.78    0.53
187    900      1.09    0.34
187   1000      2.08    0.45
187   1100      3.27    0.74
187   1200      3.84    1.02
187   1300      3.43    0.85
187   1400      3.89    1.01
187   1500      2.50    0.95
187   1600      2.60    0.89
187   1700      1.43    0.56
187   1800      3.64    0.49
187   1900      2.62    0.44
187   2000      1.65    0.32
187   2100      2.03    0.53
187   2200      1.57    0.64
187   2300      2.90    0.32
187   2400      3.89    0.37
188    100      4.06    0.37
188    200      2.39    0.46
188    300      2.31    0.60
188    400      2.72    0.34
188    500      3.32    0.26
188    600      3.80    0.27
188    700      2.37    0.26
188    800      1.63    0.31
188    900      1.31    0.36
188   1000      1.61    0.40
188   1100      2.03    0.47
188   1200      2.06    0.56
188   1300      2.90    0.75
188   1400      3.93    1.02
188   1500      5.14    1.12
188   1600      2.88    0.86
188   1700      2.32    0.41
188   1800      4.45    0.71
188   1900      3.79    0.55
188   2000      2.08    0.34
188   2100      1.48    0.53
