DOY   hrmin     Vbar    SDVn
101   1400      7.33    1.45
101   1500      5.54    1.49
101   1600      4.45    0.90
101   1700      6.59    0.99
101   1800      5.03    1.13
101   1900      2.63    0.41
101   2000      2.56    0.73
101   2100      2.00    0.30
101   2200      1.54    0.53
101   2300      3.57    0.78
101   2400      3.14    0.72
102    100      2.56    0.50
102    200      1.65    0.50
102    300      1.36    0.25
102    400      0.90    0.26
102    500      1.63    0.29
102    600      1.25    0.47
102    700      4.98    0.66
102    800      5.89    0.97
102    900     10.45    1.32
102   1000     10.73    1.53
102   1100      9.50    1.32
102   1200      9.71    1.25
102   1300     12.45    1.81
102   1400     11.00    1.68
102   1500      9.04    1.31
102   1600      6.95    1.34
102   1700      5.11    1.03
102   1800      4.32    0.72
102   1900      3.77    0.99
102   2000      4.68    0.75
102   2100      5.43    0.82
102   2200      4.66    1.00
102   2300      4.35    0.99
102   2400      2.81    0.78
103    100      2.28    0.40
103    200      1.98    0.74
103    300      1.66    0.86
103    400      2.46    1.04
103    500      2.48    0.84
103    600      2.43    0.98
103    700      2.15    0.70
103    800      2.21    0.85
103    900      4.49    0.96
103   1000      4.99    1.15
103   1100      6.99    1.37
103   1200      7.84    1.46
103   1300      7.49    1.53
103   1400      7.28    1.62
103   1500      5.77    1.37
103   1600      6.33    1.30
103   1700      5.45    1.19
103   1800      4.91    1.03
103   1900      7.27    1.00
103   2000      5.45    0.97
103   2100      2.46    0.95
103   2200      2.15    0.70
103   2300      4.65    1.36
103   2400      2.60    1.28
104    100      2.47    0.69
104    200      2.87    0.80
104    300      1.29    0.61
104    400      1.60    0.62
104    500      1.35    0.54
104    600      2.02    0.38
104    700      1.89    0.27
104    800      1.61    0.44
104    900      1.61    0.57
104   1000      1.72    0.75
104   1100      1.99    0.76
104   1200      2.78    0.76
104   1300      3.31    0.93
104   1400      3.80    1.02
104   1500      3.47    0.81
104   1600      2.14    0.63
104   1700      2.14    0.67
104   1800      1.43    0.34
104   1900      0.86    0.26
104   2000      1.57    0.34
104   2100      1.73    0.47
104   2200      2.36    0.39
104   2300      1.80    0.41
104   2400      1.76    0.43
105    100      1.79    0.31
105    200      2.47    0.44
105    300      2.39    0.47
105    400      2.43    0.34
105    500      2.99    0.34
105    600      2.90    0.25
105    700      2.42    0.44
105    800      1.58    0.43
105    900      1.67    0.43
105   1000      1.45    0.61
105   1100      1.29    0.65
105   1200      1.32    0.54
105   1300      3.04    0.88
105   1400      3.76    1.28
105   1500      3.76    0.97
105   1600      3.36    0.79
105   1700      2.66    0.47
105   1800      0.97    0.34
105   1900      1.61    0.25
105   2000      1.87    0.37
105   2100      3.08    0.43
105   2200      3.32    0.34
105   2300      3.40    0.30
105   2400      3.62    0.30
106    100      2.57    0.40
106    200      3.53    0.34
106    300      3.08    0.35
106    400      2.98    0.38
106    500      2.00    0.33
106    600      1.57    0.20
106    700      2.17    0.26
106    800      1.49    0.39
106    900      2.11    0.84
106   1000      4.47    0.70
106   1100      6.49    0.99
106   1200      7.59    1.31
106   1300      8.39    1.23
106   1400     10.19    1.31
106   1500      9.73    1.17
106   1600     11.20    1.37
106   1700     12.89    1.46
106   1800     12.92    1.26
106   1900     10.35    1.00
106   2000      9.57    0.85
106   2100      9.08    0.85
106   2200      8.12    0.75
106   2300      7.35    0.68
106   2400      8.04    0.69
107    100      7.51    0.75
107    200      6.42    1.11
107    300      4.36    0.52
107    400      5.08    0.95
107    500      8.96    1.01
107    600      7.91    1.50
107    700      5.64    0.78
107    800      2.79    1.54
107    900      3.72    0.59
107   1000      3.40    0.50
107   1100      3.59    0.56
107   1400      1.64    0.56
107   1500      3.26    1.15
107   1600      5.12    1.27
107   1700      5.72    1.18
107   1800      5.27    0.98
107   1900      4.44    0.68
107   2000      2.76    0.60
107   2100      1.41    0.40
107   2200      2.16    0.49
107   2300      2.29    0.67
107   2400      2.34    0.36
108    100      2.37    0.23
108    200      2.83    0.30
108    300      2.64    0.28
108    400      2.94    0.24
108    500      2.63    0.19
108    600      2.20    0.20
108    700      2.17    0.35
108    800      1.24    0.44
108    900      1.55    0.56
108   1000      1.81    0.64
108   1100      2.00    0.94
108   1200      2.37    1.07
108   1300      2.29    0.77
108   1400      2.56    0.98
108   1500      1.72    0.73
108   1600      1.86    0.60
108   1700      1.28    0.54
108   1800      1.14    0.43
108   1900      1.00    0.15
108   2000      1.83    0.28
108   2100      3.20    0.31
108   2200      2.89    0.24
108   2300      2.84    0.23
108   2400      1.55    0.40
109    100      1.33    0.27
109    200      2.71    0.24
109    300      2.97    0.27
109    400      2.04    0.36
109    500      2.63    0.34
109    600      3.03    0.25
109    700      1.58    0.29
109    800      1.22    0.34
109    900      0.73    0.27
109   1000      1.11    0.28
109   1100      1.03    0.38
109   1200      1.52    0.38
109   1300      1.17    0.49
109   1400      1.27    0.53
109   1500      1.39    0.57
109   1600      1.14    0.44
109   1700      1.68    0.48
109   1800      2.26    0.74
109   1900      2.14    0.89
109   2000      2.93    1.62
109   2100      2.85    0.78
109   2200      2.66    0.38
109   2300      1.36    0.16
110    400      2.91    0.47
110    500      2.74    0.55
110    600      3.35    0.38
110    700      4.64    0.49
110    800      3.95    0.61
110   1200      1.84    0.47
110   2100      1.09    0.41
110   2200      1.05    0.32
110   2300      0.88    0.31
110   2400      0.82    0.44
111    100      1.16    0.49
111    200      1.72    0.24
111    300      2.14    0.26
111    400      1.75    0.65
111    500      2.55    0.32
111    600      0.99    0.34
111    700      1.94    0.20
111    800      1.28    0.35
111    900      2.16    0.78
111   1000      4.15    0.86
111   1100      4.88    0.70
111   1200      4.28    0.77
111   1300      3.01    0.81
111   1400      2.33    0.75
111   1500      2.01    0.75
111   1600      2.59    0.84
111   1700      2.70    0.53
111   1800      1.84    0.37
111   1900      1.66    0.28
111   2000      2.08    0.36
111   2100      2.89    0.39
111   2200      2.85    0.62
111   2300      3.22    0.45
111   2400      2.29    0.54
112    100      2.14    0.61
112    200      2.39    0.68
112    300      3.02    0.39
112    400      2.91    0.27
112    500      3.01    0.31
112    600      2.77    0.33
112    700      1.86    0.29
112    800      0.81    0.28
112    900      1.26    0.47
112   1000      1.82    0.53
112   1100      2.53    0.81
112   1200      2.84    0.76
112   1300      3.32    0.88
112   1400      2.89    0.99
112   1500      2.52    0.63
112   1600      2.06    0.78
112   1700      1.52    0.60
112   1800      1.59    0.44
112   1900      1.53    0.28
112   2000      2.37    0.44
112   2100      2.97    0.28
112   2200      4.21    0.33
112   2300      4.13    0.33
112   2400      4.06    0.35
113    100      2.21    1.14
113    200      3.17    0.70
113    300      3.18    0.64
113    400      1.90    0.56
113    500      2.67    0.50
113    600      2.79    0.30
113    700      2.94    0.41
113    800      1.88    0.48
113    900      2.36    0.58
113   1000      2.51    0.68
113   1100      2.30    0.94
113   1200      7.30    1.61
113   1300      7.35    1.28
113   1400      6.65    1.45
113   1500      5.87    1.31
113   1600      6.27    1.36
113   1700      6.58    1.15
113   1800      6.41    0.90
113   1900      4.17    0.95
113   2000      2.08    0.67
113   2100      2.02    0.43
113   2200      3.85    0.49
113   2300      3.88    0.60
113   2400      3.86    0.49
114    100      3.23    0.36
114    200      2.43    0.44
114    300      2.44    0.34
114    400      2.31    0.33
114    500      3.43    0.45
114    600      3.80    0.48
114    700      4.56    0.57
114    800      5.80    0.63
