YEAR  DOY hrmin   Ta     Td      D     stdTa    Dir     V    ustar    z/L      H     LE      FluxAvg      FluxStd      FluxVar    FluxSkew    FluxKurt   Records
2018  92  1400   15.1   -6.8  1346.9   0.314   242.4  11.8   0.69   -0.010    70.2   84.9   0.335E-04    0.939E-04    0.881E-08    1.9562      10.5185    72000
2018  92  1500   15.1   -6.7  1341.8   0.286   248.8  11.2   0.68   -0.009    61.9   85.4   0.336E-04    0.992E-04    0.984E-08    2.1142      11.6748    72000
2018  92  1600   14.9   -5.8  1299.1   0.332   254.0  10.7   0.69   -0.012    84.5   82.6   0.323E-04    0.159E-03    0.252E-07    1.3408       7.7094    72000
2018  92  1700   14.2   -3.9  1157.9   0.427   258.6  11.2   0.72   -0.012    97.6   64.1   0.247E-04    0.144E-03    0.206E-07    0.9307       5.0657    72000
2018  92  1800   12.8   -2.9   988.9   0.491   252.7  10.7   0.66   -0.001     8.6   45.8   0.182E-04    0.857E-04    0.735E-08    1.2480      12.2338    72000
2018  92  1900   10.8   -2.3   781.4   0.725   241.6   8.3   0.45    0.021   -42.6   17.6   0.755E-05    0.377E-04    0.142E-08    1.5604      15.5506    72000
2018  92  2000    8.3   -4.2   650.0   0.678   227.1   8.8   0.49    0.021   -55.7   22.2   0.956E-05    0.198E-03    0.392E-07    0.4616       9.5165    72000
2018  92  2100    7.7  -12.1   810.6   0.631   254.0   6.4   0.45    0.037   -72.6   30.3   0.126E-04    0.287E-03    0.825E-07    0.1518       2.1857    72000
2018  92  2200    5.0   -5.9   478.1   0.955   101.5   2.6   0.18    0.124   -16.4    6.9   0.172E-05    0.320E-04    0.103E-08    0.7562      11.3458    72000
2018  92  2300    2.2   -7.7   373.8   0.636   116.5   2.0   0.18    0.244   -28.9   -2.2   0.305E-06    0.602E-04    0.362E-08    0.7272      18.4166    72000
2018  92  2400    0.6  -11.3   381.5   0.481    15.7   4.5   0.27    0.070   -29.6   13.0   0.517E-05    0.958E-04    0.918E-08    0.3661       8.8994    71999
2018  93   100   -0.7  -14.5   382.8   0.316    14.7   6.3   0.44    0.024   -44.8   16.2   0.636E-05    0.331E-04    0.109E-08    1.6061      11.5338    72000
2018  93   200   -1.0  -16.1   395.1   0.242   356.4   6.3   0.46    0.020   -44.0   15.2   0.610E-05    0.382E-04    0.146E-08    0.9286       4.8082    72000
2018  93   300   -1.6  -16.2   368.2   0.473     7.8   3.2   0.15    0.409   -31.4    6.6   0.270E-05    0.124E-04    0.153E-09    1.7854      11.9697    72000
2018  93   400   -2.0  -16.7   360.4   0.970   349.0   1.3   0.15    0.033    -2.7   -1.3  -0.297E-06    0.944E-05    0.892E-10    1.1461       8.7796    72000
2018  93   500   -3.1  -16.3   315.6   1.392   348.9   2.5   0.23   -0.095    25.9    3.4   0.810E-06    0.144E-04    0.208E-09    0.7269       6.8110    72000
2018  93   600   -5.1  -15.1   230.9   1.252   253.8   1.6   0.08    1.411   -15.2    0.9   0.442E-06    0.863E-05    0.745E-10    1.7176      22.5759    72000
2018  93   700   -4.2  -15.1   258.5   0.529   202.3   0.7   0.12    0.191    -7.7    3.4   0.137E-05    0.119E-04    0.141E-09    2.8642      20.2482    72000
2018  93   800   -1.7  -14.8   346.8   0.785   267.7   3.0   0.27   -0.137    57.6   22.6   0.867E-05    0.280E-04    0.782E-09    1.3920       6.3000    72000
2018  93   900   -0.6  -15.6   401.5   0.730   225.8   5.4   0.31   -0.231   147.1   30.1   0.113E-04    0.281E-04    0.788E-09    2.0620       9.9627    72000
2018  93  1000    0.2  -15.3   431.4   1.081   200.3   4.2   0.33   -0.310   238.8   37.1   0.136E-04    0.352E-04    0.124E-08    3.5167      31.2052    72000
2018  93  1100    1.3  -15.3   486.1   1.193   197.3   3.5   0.34   -0.347   296.3   49.9   0.184E-04    0.454E-04    0.206E-08    4.0668      39.3309    72000
2018  93  1200    2.0  -15.7   524.7   1.151   199.3   2.5   0.28   -0.546   278.2   55.7   0.209E-04    0.489E-04    0.239E-08    4.7744      52.9908    72000
2018  93  1300    3.2  -15.9   590.6   1.254   188.1   3.3   0.28   -0.589   271.0   56.8   0.214E-04    0.531E-04    0.282E-08    2.8148      20.3077    72000
2018  93  1400    4.1  -16.0   646.1   1.312   198.8   3.0   0.30   -0.530   330.8   76.5   0.290E-04    0.621E-04    0.386E-08    3.6141      25.1604    72000
2018  93  1500    4.7  -16.1   683.3   1.046   173.9   2.7   0.28   -0.450   223.7   61.6   0.236E-04    0.556E-04    0.309E-08    3.4611      23.8891    72000
2018  93  1600    5.5  -16.2   727.5   0.780   175.3   2.5   0.35   -0.161   150.9   47.9   0.185E-04    0.440E-04    0.194E-08    3.4068      22.4332    72000
2018  93  1700    5.9  -15.8   748.9   0.491   141.5   2.8   0.25   -0.206    74.3   34.9   0.136E-04    0.337E-04    0.113E-08    2.7002      16.6570    72000
2018  93  1800    6.0  -15.8   754.8   0.252   135.0   2.1   0.15   -0.288    22.6   21.2   0.834E-05    0.245E-04    0.599E-09    3.1623      29.5539    72000
2018  93  1900    5.6  -15.9   729.2   0.232   121.6   0.8   0.11    0.146    -4.4    2.8   0.116E-05    0.593E-05    0.351E-10    2.0013      14.1702    72000
2018  93  2000    3.5  -14.3   583.8   1.329   315.6   1.8   0.08   -1.010    11.9   -1.2  -0.356E-06    0.714E-05    0.509E-10    1.1168      13.1067    72000
2018  93  2100    2.0  -14.0   496.3   0.780   309.2   2.7   0.11    0.445   -14.0    2.7   0.115E-05    0.149E-04    0.222E-09   -0.0057      15.1674    72000
2018  93  2200    2.3  -14.1   517.0   0.262   318.9   1.8   0.09    0.293    -5.1    3.4   0.140E-05    0.683E-05    0.467E-10    2.1809      18.0607    72000
2018  93  2300    2.5  -13.0   506.4   0.430   302.6   1.3   0.02  -11.744     2.7   -1.3  -0.852E-07    0.612E-05    0.374E-10   -1.3067      60.5949    72000
2018  93  2400    1.7  -12.8   460.9   0.944   302.7   2.2   0.04   -2.665     4.8   -0.7  -0.234E-06    0.233E-05    0.543E-11    0.4299      25.6711    71999
2018  94   100   -0.3  -13.6   383.7   0.954   311.9   2.3   0.11    0.774   -21.4    3.8   0.163E-05    0.121E-04    0.146E-09    0.8728      11.1771    72000
2018  94   200    0.7  -14.5   445.4   0.844   324.2   2.2   0.08    1.252   -14.7    3.1   0.132E-05    0.103E-04    0.106E-09    1.8445      21.0764    72000
2018  94   300    0.3  -13.4   406.2   1.165   301.6   1.6   0.11    0.456   -12.4    2.0   0.851E-06    0.108E-04    0.117E-09    1.6176      23.7792    72000
2018  94   400   -0.7  -13.2   361.3   0.966   293.1   2.2   0.08    0.970   -11.6    2.1   0.916E-06    0.694E-05    0.482E-10    0.8478       9.7969    72000
2018  94   500   -0.9  -13.3   351.5   0.859   296.4   1.6   0.09    1.274   -18.0    8.2   0.337E-05    0.146E-04    0.212E-09    1.8953      13.9778    72000
